pipeline_id,run_id,timestamp,ci_tool,repository,branch,commit_hash,author,language,os,cloud_provider,build_duration_sec,test_duration_sec,deploy_duration_sec,failure_stage,failure_type,error_code,error_message,severity,cpu_usage_pct,memory_usage_mb,retry_count,is_flaky_test,rollback_triggered,incident_created
billing-service,run_0,2025-12-29T07:58:16.927259,Jenkins,repo_469,release,53820d0dddb2d97f40cbf0e1b4566169f480b86e,user_689,Python,windows-latest,On-Prem,1996,805,532,deploy,Security Scan Failure,ERR_621,ERROR: RjyJqtFYmKiXBA5qwUE5HeQgJ2AOHlTqsFEGfE3Z 2eykZAqkscUJ4KUxihlYXskJiDSG3TF0CXhFXZp9TfdtWDQWvfeJjXS1wiOikTyhDKEPIUsTbXRLcN9,MEDIUM,41.15,3132,3,True,True,True
integration-service,run_1,2025-11-23T05:49:16.927259,Jenkins,repo_468,feature-x,be6da17c5b96301edc318c3fb56e77ef4a7b4d3c,user_326,Python,ubuntu-latest,AWS,418,1163,386,build,Build Failure,ERR_136,ERROR: 5r2039obpbhM8gNiE2GPONpWhYnkQBqFoM0IhXlPIqSkoJEnFqibMcbW8yEetJWD3tKbM4RvNixxpustB2d6p2HvFYhQ9fN NCEulckyA8KQ1RwZrpJZS30f,CRITICAL,31.07,3665,2,True,True,True
automation-service,run_2,2026-01-02T05:36:16.927259,Jenkins,repo_360,main,f472559bbaa8d006960612dc01ead013f1e0b16d,user_79,Go,ubuntu-latest,On-Prem,1154,680,290,deploy,Build Failure,ERR_929,ERROR: g8tprJBHkhLu3r6EtkU5E0Y51Gda8lfG5 4iCOMWoFH5TSdFQSVRS6SojIr2i8QNjvdiIg d7QwujGmRSKuElAV45mrIKoBF7WudLUiXbw BvuxlxpwQ6smm,HIGH,27.94,23250,4,False,True,True
NGOFT-ZK8NGOFE1-JOB1,run_3,2025-12-02T02:12:16.927259,Jenkins,repo_47,develop,a76a1cbf1ce309b5a6695ce5471c956622877120,user_596,Python,ubuntu-latest,On-Prem,3176,836,224,test,Resource Exhaustion,ERR_699,ERROR: hqMA49ZWCXsrHsXy81t5pCoPJBer4QpdnJdelM7WPCykUZENL6T469HHsAybKVxlk1JyuWWQLf3x3eRPFkiO8LKPIyMEfFtC4iKqVTzy9nAKMz0ziBAIFCXD,HIGH,56.01,23221,1,False,True,True
NGOFT-ZC2NGOFE1-JOB2,run_4,2025-12-26T17:18:16.927259,GitHub Actions,repo_472,main,4963c384532230d365165b206d2584fef4444ebf,user_907,NodeJS,ubuntu-latest,GCP,1705,945,1694,test,Security Scan Failure,ERR_201,ERROR: XSxiDN8XrGhYd9legdlv1fCtI9ILHaTM94tucUUNwLanbbMTkKIReFS989HHzRtbUWFrr1ZR604WjNcP7EzHAHWo9hy eHIkcT7Q5rRKhHrMNMBciKN6O9nA,HIGH,54.63,27558,0,False,False,True
customer-service,run_5,2025-11-13T11:19:16.927259,GitLab CI,repo_261,feature-x,0670da1803ac1f9c622384eb6b66e78f9e95b8b5,user_830,C++,windows-latest,Azure,2029,998,230,deploy,Network Error,ERR_654,ERROR: dfutS465iBuUtmcDowLm Zts0LG4y70lpe4I6iefsVTMnK82yeP9bEyhuQuHNo8ArUDmJXmXpX9Hn gZvjY3huEVp5cGWK9k373Bkju0A0eC488Xjymoa2Gn,LOW,22.43,27390,0,True,False,False
order-service,run_6,2025-12-20T09:09:16.927259,Azure DevOps,repo_220,main,fe1c03faedaf3e375bfb3665d8f71d99f2720a5f,user_680,Rust,ubuntu-latest,GCP,1391,1891,1330,build,Network Error,ERR_540,ERROR: qHOmGzp0Yf6tHtMEqYfdqmz0d3Au3rPsZPpbgZCuRQOYg99egaWGd8guTV53kY21eMUGf 3E2DofTEGZWrV0RiNfBTMbA4OKLmC8kjOaCPFg9Z XtqfYO35v,MEDIUM,44.56,13975,5,False,False,True
pipeline-service,run_7,2025-09-12T18:25:16.927259,GitLab CI,repo_164,feature-x,9943e2b1b7513a57d5a1a0394574947a0fe08952,user_733,Rust,windows-latest,AWS,1734,1228,104,build,Resource Exhaustion,ERR_652,ERROR: aZjh2OsLxS0Lw7KbuRfJpVnh346s7fgYxjr7A47bgAqpfN tpXt2z  AM2QbOWQhjvLp1GRY6PNFglmuEX4qBFny gkTQ9csqL6SIDil0zilYHzOMyf7V8RB,HIGH,84.67,2283,3,True,True,True
new-service,run_8,2026-02-09T07:43:16.927259,GitHub Actions,repo_97,develop,b526654cac628d39e59c54669cf9c45cdec47da4,user_338,Go,ubuntu-latest,On-Prem,2853,2151,1797,test,Configuration Error,ERR_388,ERROR: mlwjLCjj801uNvFEfLmxeo8J0nCWUYElTYO6zbN55nYtNYth87AslsU i98dajaMCzvoNxC7XFShCwdgtqoO2H4LHEQbylB7hoLKtUb9DYrTMrZpNcgMjYeq,HIGH,36.24,22740,2,True,True,False
connector-service,run_9,2026-02-03T16:20:16.927259,Jenkins,repo_45,feature-x,f36ceae636db4b09b42673cd3c03b491094cf4fc,user_287,Java,ubuntu-latest,Azure,2377,41,819,deploy,Resource Exhaustion,ERR_511,ERROR: xNHxZwWa3Tg HD6Be80Inaggu5v7jbaajzWUksGW5ResqwbrLy3wGBO7j7zYHT3ktR5GWWb5YpJC2GSg yheFkg6mwOacEoOGWFXs59dpRjWB6zyKM0c47y5,CRITICAL,85.18,19891,3,False,False,True
rag-service,run_10,2026-01-04T19:18:16.927259,Jenkins,repo_487,develop,b621d7e964ca8ff228f0216e75bb3734f29603a4,user_400,NodeJS,ubuntu-latest,GCP,580,697,1329,test,Security Scan Failure,ERR_250,ERROR: vI4FNKfZPZWOwAMiJ7D64sjcUPcWBNqs5Bc0AzenNS6Z00Pr4pxF4ThBXpsjBwotPDN njkDcXByjqiB6FUYiIgjgLkkkT1jOxXIMojxwcdIRsojB4jGK9fG,LOW,49.29,7663,1,False,False,False
billing-service,run_11,2025-10-18T09:24:16.927259,CircleCI,repo_479,main,8170167c1dd0b8a6d538e66e34763f41dd44d86b,user_701,C++,windows-latest,On-Prem,1957,752,1255,build,Test Failure,ERR_848,ERROR: lHoslI4xO4NwR13cUhA4m5T8i69RMqQWuVkncS77rgt6o JqSWrfBoa93A0PWwij1YEVat0MusW8vo9wLK9AHlyg3ujyurZW76QaCyywHA lXv 2VZpNdj6r,MEDIUM,83.97,31308,0,True,True,True
customer-service,run_12,2025-09-27T02:10:16.927259,Azure DevOps,repo_381,release,e615e679e3fa6501b4b24207639c796b2b84bdb0,user_130,C++,macos-latest,On-Prem,1204,606,1055,deploy,Test Failure,ERR_202,ERROR: lCtpuDkOrVH1noiiWuGhaYf4PNqtJgUe6o66Ehd7FZnQynpjTZtbP4FmYF4MoMW38AstGMGiduHR7UhoGjaj6suEYmsLZ7MitEcPfZynqqm35sg1UPRq9Lw3,CRITICAL,34.02,26007,4,True,True,True
NGOFT-ZK5NGOFE2-JOB3,run_13,2025-08-15T02:34:16.927259,Jenkins,repo_225,main,3c7040d40b9958868849eec0ed24f3f0ec9d504f,user_179,Go,ubuntu-latest,GCP,1109,161,328,deploy,Configuration Error,ERR_880,ERROR: 4ta4LOd498sFYCePCVxxnkaJuG2HwqVFtkWXLD61RHwiv dViKnqnHj1ztcByKbqq2DQDZuJ0dMykPjvPHeYqC9KDqrEE4 Jmnc7abuNi7gzAvWeASOsKPmK,HIGH,63.55,10978,0,True,False,True
billing-service,run_14,2025-11-14T10:25:16.927259,GitLab CI,repo_248,main,54b5aef810652aba0d35f49b1689ac366c296d14,user_524,Java,ubuntu-latest,AWS,3060,369,178,deploy,Build Failure,ERR_933,ERROR: JBXXvmg7xMt1tHyyu9NIxdULSLNNWMRv4w17HB5BJysUTC5Ei GYbfwwpgC0 ds62rPJizd7K6peghH0uS2zpWSoPRVY72iHbQB qBjAY28kd56tRV O Dfe,MEDIUM,88.51,3738,4,False,True,False
pipe_4340,run_15,2026-01-09T06:17:16.927259,GitHub Actions,repo_500,main,7be635b550ea1aef54fdf7b70e6c2c2daae0f705,user_721,NodeJS,macos-latest,GCP,279,1644,812,build,Build Failure,ERR_351,ERROR: fl3wd1Wy2SiC9YDy5Mui11KXVCwxP0G0vuhXzPdGtuE5caPZLBYtKaYloR6bcKVMEO1SGaE6v0VU4rpAcGO RPksC6JkggvAZUkBYUGMdD2ZnPnipSQ3iElh,LOW,72.02,22045,2,True,False,True
